symbol,month_start,month_end,direction,raw_momentum,vol_annualised,target_weight,month_return_unweighted,month_return_weighted
GBPUSD,2016-08-01,2016-09-01,SELL,-0.15354568465956553,0.22656782531794578,0.44136893603347527,-0.006866920438698965,-0.0030308453678550874
GBPUSD,2016-09-01,2016-10-03,SELL,-0.1400466714202373,0.23022315524826786,0.4343611740190168,0.03332917919399292,0.014476901403792953
GBPUSD,2016-10-03,2016-11-01,SELL,-0.1579147590875104,0.11561474332189642,0.8649415907241035,0.048673903632368676,0.04210008363453268
GBPUSD,2016-11-01,2016-12-01,SELL,-0.1951681293758012,0.10468951000190693,0.9552055406332353,-0.027384527384527346,-0.02615785228532308
GBPUSD,2016-12-01,2017-01-02,SELL,-0.1731110322809507,0.10702761104420164,0.9343383359150259,0.02556707078607734,0.023888294372485176
GBPUSD,2017-01-02,2017-02-01,SELL,-0.14819904226525094,0.09587710477314296,1.043001874499781,-0.030084635262321968,-0.031378330972244024
GBPUSD,2017-02-01,2017-03-01,SELL,-0.12303790099586254,0.11602797347418636,0.8618611271552353,0.02940745802420941,0.02534514491951539
GBPUSD,2017-03-01,2017-04-03,SELL,-0.14027345525754453,0.11227890108905085,0.8906392833386196,-0.015291940690660644,-0.013619603097586672
GBPUSD,2017-04-03,2017-05-01,SELL,-0.11775348235676575,0.10721898769619882,0.9326706225146094,-0.031159780212957622,-0.029061811608637595
GBPUSD,2017-05-01,2017-06-01,SELL,-0.10826597276049155,0.0839436810981441,1.1912748963568014,0.0004891722119126918,0.0005827385760469192
GBPUSD,2017-06-01,2017-07-03,SELL,-0.087166074833259,0.0821047889209667,1.2179557528155764,-0.00456793940330813,-0.0055635480747720885
GBPUSD,2017-07-03,2017-08-01,SELL,-0.030178552688784555,0.08568831205486259,1.1670203041924114,-0.02019735397244915,-0.023570722176809417
GBPUSD,2017-08-01,2017-09-01,BUY,0.02229671665363453,0.07710692327544053,1.2969004046858552,-0.018894787462040097,-0.024504657505973023
GBPUSD,2017-09-01,2017-10-02,SELL,-0.02098557383491151,0.06749022349370554,1.4816960860905504,-0.023788891484375685,-0.035247907404832274
GBPUSD,2017-10-02,2017-11-01,BUY,0.08330340233788291,0.07925617155533793,1.2617313962759154,-0.0021400206466781757,-0.002700131238592542
GBPUSD,2017-11-01,2017-12-01,BUY,0.06066431185973675,0.08093741530328441,1.2355225284287283,0.017398527468378555,0.021496272648667755
GBPUSD,2017-12-01,2018-01-02,BUY,0.07237575217294423,0.0851604035222857,1.1742546519736832,0.0086766768847093,0.01018862819554242
GBPUSD,2018-01-02,2018-02-01,BUY,0.11285990369812304,0.07193320311014831,1.390178605655502,0.049286965223917845,0.06851768459197734
GBPUSD,2018-02-01,2018-03-01,BUY,0.14284340362097558,0.07573687395416794,1.320360806818022,-0.033949058879631844,-0.04482500677302323
GBPUSD,2018-03-01,2018-04-02,BUY,0.13353411176117236,0.08772459449983933,1.139931174035614,0.01949838481361832,0.022226816692386117
GBPUSD,2018-04-02,2018-05-01,BUY,0.12448156036318792,0.08710516922537105,1.1480374917964464,-0.030717525508932586,-0.035264870939468326
GBPUSD,2018-05-01,2018-06-01,BUY,0.052213771140586784,0.07451685017794706,1.341978354710363,-0.01948915351105951,-0.026154022163469334
GBPUSD,2018-06-01,2018-07-02,BUY,0.054505234050957974,0.06652498593137882,1.5031946057553622,-0.015396256948918996,-0.023143570394438547
GBPUSD,2018-07-02,2018-08-01,BUY,0.02296273809245819,0.0654032793235663,1.5289753210274843,-0.00123269846825802,-0.0018847655362348944
GBPUSD,2018-08-01,2018-09-03,BUY,0.011591254152119701,0.06299459250049327,1.5874378423706283,-0.0196941877385588,-0.031263298890939865
GBPUSD,2018-09-03,2018-10-01,SELL,-0.03125211747965351,0.0722735830342307,1.3836314155427625,-0.013365027029099474,-0.018492271267040186
GBPUSD,2018-10-01,2018-11-01,SELL,-0.012224587022548139,0.07600146500519799,1.3157641105097209,0.003709604180616166,0.004880964045051572
GBPUSD,2018-11-01,2018-12-03,SELL,-0.014845592193553858,0.08707544456338816,1.1484293936300627,0.021253016214856535,0.02440758852443758
GBPUSD,2018-12-03,2019-01-02,SELL,-0.04461214988360751,0.09451287930846439,1.0580568567129052,0.009297381343360556,0.009837158079817276
GBPUSD,2019-01-02,2019-02-01,SELL,-0.06870719652474566,0.09592238088815186,1.0425095694466004,-0.036342509421990576,-0.037887413850128414
GBPUSD,2019-02-01,2019-03-01,SELL,-0.054608396510728574,0.09282797725370362,1.077261435167276,-0.009210237299946189,-0.009921833451971208
GBPUSD,2019-03-01,2019-04-01,SELL,-0.050472868495810674,0.08626936612806467,1.1591600180712185,0.007739689954431972,0.008971539147444993
GBPUSD,2019-04-01,2019-05-01,SELL,-0.07567430276776321,0.09175950253538018,1.0898053851310114,0.004007969959384017,0.004367907245180023
GBPUSD,2019-05-01,2019-06-03,SELL,-0.03455164249778042,0.08206397894623414,1.21856143565153,0.030523198420533193,0.03719439248800144
GBPUSD,2019-06-03,2019-07-01,SELL,-0.05295239519838468,0.07187539024604625,1.391296793765942,0.0018989595284251148,0.002642016303389147
GBPUSD,2019-07-01,2019-08-01,SELL,-0.04761725343621903,0.055571152644556254,1.7994947961511465,0.041809204289729784,0.07523544555058893
GBPUSD,2019-08-01,2019-09-02,SELL,-0.04997846430948749,0.062093463784358774,1.6104754656188116,0.005353576371336155,0.008621803399353463
GBPUSD,2019-09-02,2019-10-01,SELL,-0.07390096395898582,0.07146616466734722,1.3992635601122423,-0.019166836008941424,-0.0268194551899589
GBPUSD,2019-10-01,2019-11-01,SELL,-0.06711607874063508,0.08562074427696638,1.1679412605491906,-0.04880274012850139,-0.05699873382393648
GBPUSD,2019-11-01,2019-12-02,BUY,0.0066859695823409115,0.0945323492498999,1.0578389386647544,0.0003401965408198482,0.000359873147678289
GBPUSD,2019-12-02,2020-01-02,BUY,0.03613386829397203,0.08523095017635578,1.173282707667635,0.015319096312441438,0.017973630800482573
GBPUSD,2020-01-02,2020-02-03,BUY,0.023594498772743222,0.09162193434873149,1.0914417023698704,-0.010870640895838335,-0.011864670805205325
GBPUSD,2020-02-03,2020-03-02,BUY,0.00799820021100972,0.08367013053963933,1.1951696424403722,-0.018570823873475195,-0.022195284928684476
GBPUSD,2020-03-02,2020-04-01,SELL,-0.024471967013716234,0.08552624337331362,1.1692317592333603,0.03064737735391576,0.035833886939407575
GBPUSD,2020-04-01,2020-05-01,SELL,-0.05194277789271218,0.16079476779702687,0.6219107833547867,-0.0095736676112258,-0.005953967123675787
GBPUSD,2020-05-01,2020-06-01,SELL,-0.035774654409891804,0.1645983019339069,0.6075396819108996,0.00041641975110917606,0.0002529915231302848
GBPUSD,2020-06-01,2020-07-01,SELL,-0.018525359385684337,0.16783908945570886,0.5958087613814722,0.0010822597583755034,0.0006448198461307201
GBPUSD,2020-07-01,2020-08-03,SELL,-0.0038412394186232435,0.0952507508996466,1.0498604898701227,-0.04592944991739578,-0.0482195147897424
GBPUSD,2020-08-03,2020-09-01,BUY,0.08418468886825003,0.08309464325203751,1.203447010376905,0.023565134920149333,0.02835939116878212
GBPUSD,2020-09-01,2020-10-01,BUY,0.08555460017196892,0.08322751781565024,1.2015256807430084,-0.03710816364655323,-0.044586411586547824
GBPUSD,2020-10-01,2020-11-02,BUY,0.018905968308188692,0.08677052715128253,1.1524650510149854,0.0022893239897872064,0.0026383658886799427
